Country,Language,Capital,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Turkey,Turkish,Ankara,"83,429,615",29.8,37.8,14.2,7.2,3.9,4.7,1.6,0.8
Uganda,Swahili,Kampala,"44,269,594",49.29,24.11,20.29,4.41,1.01,0.49,0.41,0.09
Ukraine,Ukrainian,Kyiv,"44,385,155",32.0,34.0,15.0,5.0,5.0,6.0,2.0,1.0
United Arab Emirates,Arabic,Abu Dhabi,"9,770,529",44.1,21.9,20.9,4.3,4.3,2.1,2.0,0.4
United Kingdom,English,London,"66,834,405",35.0,30.0,9.0,2.0,13.0,8.0,2.0,1.0
United States,None,"Washington, D.C.","328,239,523",37.4,35.7,8.5,3.4,6.6,6.3,1.5,0.6
Uzbekistan,Uzbek,Tashkent,"33,580,650",29.42,30.93,24.98,9.27,1.68,1.77,1.42,0.53
Venezuela,Spanish,Caracas,"28,515,829",58.3,28.2,5.6,1.9,3.7,1.8,0.4,0.1
Vietnam,Vietnamese,Hanoi,"96,462,106",41.7,21.9,30.8,4.98,0.3,0.1,0.2,0.02
Yemen,Arabic,Sanaa,"29,161,922",47.84,27.5,15.32,2.14,3.66,2.1,1.17,0.16
Zimbabwe,Shona,Harare,"14,645,468",63.3,18.5,14.6,0.99,1.7,0.5,0.4,0.01
